Avaí;Igor Fernandes;LAT;Titular;0;0;0;0;0;0;0;0;0
Avaí;Betão;ZAG;Titular;0;0;0;0;0;0;0;0;0
Avaí;Vladimir;GOL;Titular;0;0;0;0;0;0;0;0;0
Avaí;Pedro Castro;MEI;Titular;0;0;0;0;0;0;0;0;0
Avaí;Luan Pereira;MEI;Titular;0;0;0;0;0;0;0;0;0
Avaí;Lourenço;ATA;Titular;0;0;0;0;0;0;0;0;0
Avaí;Kunde;ZAG;Titular;0;0;0;0;0;0;0;0;0
Avaí;Getúlio;ATA;Titular;0;0;0;0;0;0;0;0;0
Avaí;Gegê;MEI;Titular;0;0;0;0;0;0;0;0;0
Avaí;Caio Paulista;ATA;Titular;0;0;0;0;0;0;0;0;0
Avaí;Brenner;ATA;Titular;0;0;0;0;0;0;0;0;0
Avaí;Santos;GOL;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Dudu;MEI;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Rodrigo;GOL;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Brizuela;ATA;Reserva;0;0;0;0;0;0;0;0;0
Avaí;João Vitor;GOL;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Gustavo Ferrareis;MEI;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Matheus Matias;ATA;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Julian;MEI;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Jô;ATA;Reserva;0;0;0;0;0;0;0;0;0
Avaí;Luanderson;MEI;Reserva;0;0;0;0;0;0;0;0;0
